t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi
  0.0000   1.9941   2.3467   2.0670   2.0467   0.3272   0.2190   0.2761   0.2822   0.1057   0.0047   0.0108 
  0.0000   2.0670   2.0427   2.0913   2.0427   0.3081   0.3973   0.2614   0.2778   0.1030   0.0003  -0.0024 
  0.0000   0.5593   2.0184   2.1278   0.5026  -0.5747   0.3661   0.2363  -0.5721   0.0651   0.0386  -0.0054 
  0.0000   0.3161   1.6779   1.6090   0.2959  -0.6864   0.6241   0.5393  -0.7245   0.0487   0.0334   0.0016 
  0.0000  -0.1986   1.5077   1.2686  -0.0486  -0.7132   0.7816   0.7799  -0.8699   0.0316   0.0378   0.0126 
  0.0000  -0.6079   1.5118   1.0943  -0.1621  -0.7470   0.7989   0.9616  -1.0802   0.0229   0.0422   0.0280 
  0.0000  -0.9241   1.2321   1.0335  -0.4012  -0.8422   0.9937   1.0473  -1.1789   0.0118   0.0449   0.0234 
  0.0000  -1.0335   1.1551   1.2402  -0.7782  -0.9365   1.1114   1.0257  -1.1633   0.0073   0.0526   0.0055 
  0.0000  -1.3050   1.1835   1.3010  -1.1713  -0.9634   1.1815   1.0647  -1.1486   0.0001   0.0620   0.0005 
  0.0000  -1.4996   1.2402   1.3902  -1.3294  -0.9409   1.2231   1.0828  -1.1971  -0.0025   0.0682   0.0007 
  0.0000  -1.5077   1.4226   1.6333  -1.7428  -1.1166   1.1703   0.9954  -1.0785  -0.0024   0.0788  -0.0145 
  0.0000  -1.8481   1.2888   1.9616  -2.0711  -1.0205   1.3312   0.8526  -0.9816  -0.0084   0.0896  -0.0291 
  0.0000  -1.5604   1.3658   2.0224  -2.1643  -1.1945   1.3789   0.8361  -0.9928  -0.0042   0.0889  -0.0409 
  0.0000  -1.6779   1.3658   2.0467  -2.2372  -1.2317   1.4342   0.8535  -0.9911  -0.0063   0.0916  -0.0403 
  0.0000  -1.8238   1.4266   2.0670  -2.2129  -1.2464   1.4273   0.8578  -1.0413  -0.0068   0.0941  -0.0334 
  0.0000  -2.0305   1.7063   1.8117  -2.4723  -1.1209   1.3399   1.0344  -0.9019  -0.0123   0.1003  -0.0178 
  0.0000  -2.2413   1.9576   1.9211  -2.5331  -1.0248   1.2308   1.0041  -0.8673  -0.0112   0.1082  -0.0083 
  0.0000  -2.1926   1.9616   1.9738  -2.4318  -1.0837   1.2603   0.9919  -0.9288  -0.0086   0.1070  -0.0082 
  0.0000  -2.3953   2.1319   1.9819  -2.3345  -0.9850   1.2135   0.9963  -0.9807  -0.0077   0.1105   0.0068 
  0.0000  -2.5209   2.2413   2.1440  -2.2534  -0.8941   1.1365   0.9192  -1.0093  -0.0049   0.1145   0.0118 
  0.0000  -2.3142   2.2048   1.9859  -2.2899  -1.0421   1.2066   1.0162  -1.0006  -0.0052   0.1099   0.0079 
  0.0000  -2.7398   1.9130   2.2291  -2.3021  -0.7617   1.3676   0.8924  -0.9867  -0.0112   0.1148   0.0039 
  0.0000  -2.2413   1.8846   2.1886  -2.1400  -0.9842   1.3494   0.8898  -1.0724  -0.0039   0.1057  -0.0066 
  0.0000  -2.1521   2.1440   2.2859  -2.2980  -1.0828   1.2923   0.8483  -0.9599  -0.0003   0.1110  -0.0093 
  0.0000  -1.9941   2.2048   1.7792  -2.3345  -1.1226   1.2049   1.1226  -0.8119  -0.0043   0.1039   0.0028 
  0.0000  -2.0832   2.1643   1.9697  -2.2251  -1.0984   1.2464   1.0508  -0.9521  -0.0022   0.1055   0.0017 
  0.0000  -2.3264   2.3629   2.1440  -2.3264  -0.9201   1.1374   0.9417  -0.8941  -0.0018   0.1145   0.0071 
  0.0000  -2.4237   2.5453   2.2778  -2.5088  -0.8422   1.0335   0.8500  -0.7565  -0.0014   0.1219   0.0059 
  0.0000  -2.3588   2.4723   2.3588  -2.2291  -0.8448   1.0378   0.7730  -0.8474   0.0030   0.1177   0.0079 
  0.0000  -2.5169   2.3386   2.0346  -2.0589  -0.7158   1.0560   0.9738  -0.9694  -0.0025   0.1119   0.0247 
  0.0000  -2.5817   2.0346   2.0589  -2.0184  -0.6873   1.2343   0.9642  -1.0196  -0.0063   0.1087   0.0175 
  0.0000  -2.5655   1.7874   2.1035  -1.9008  -0.6535   1.3797   0.9409  -1.0672  -0.0072   0.1045   0.0113 
  0.0000  -2.0103   1.9252   2.2615  -2.0224  -0.9547   1.3364   0.8439  -1.0179   0.0019   0.1027  -0.0113 
  0.0000  -1.7549   2.2615   1.9941  -2.3345  -1.1175   1.1633   1.0032  -0.8457   0.0021   0.1043  -0.0101 
  0.0000  -1.7671   2.0589   2.0103  -2.1075  -1.1114   1.2300   0.9850  -0.9331   0.0024   0.0993  -0.0095 
  0.0000  -1.8238   2.0589   2.0184  -2.1886  -1.0872   1.2352   0.9859  -0.9045   0.0008   0.1011  -0.0105 
  0.0000  -1.9089   1.9616   2.0224  -2.1683  -1.0586   1.2906   0.9963  -0.9071  -0.0012   0.1008  -0.0104 
  0.0000  -2.0954   1.9373   1.9859  -2.2413  -0.9686   1.3131   1.0248  -0.8647  -0.0052   0.1032  -0.0063 
  0.0000  -2.1643   1.9616   1.8644  -2.1278  -0.9114   1.3434   1.0837  -0.9088  -0.0058   0.1015   0.0043 
  0.0000  -2.1156   2.1156   2.1805  -2.0832  -0.9565   1.2239   0.9616  -0.9720   0.0012   0.1062  -0.0011 
  0.0000  -2.5939   1.8360   2.2737  -2.0467  -0.6604   1.4014   0.8569  -0.9521  -0.0066   0.1094   0.0036 
