t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi 
  0.0000   3.6477  -1.1429  -6.4807   9.5123   1.7761  -0.6180  -0.8786   1.6229   0.0692  -0.2598   0.3637 
  0.0000   4.1218  -0.5026  -6.2051   9.9986   1.6359  -0.7929  -0.8197   1.4637   0.0927  -0.2604   0.3760 
  0.0000   3.9922   0.0041  -5.2769  10.2418   1.8913  -0.8604  -1.1140   1.3797   0.1120  -0.2438   0.3744 
  0.0000   4.3569   0.0041  -5.8727   9.9622   1.7692  -0.6630  -0.5895   1.5710   0.1056  -0.2523   0.3728 
  0.0000   4.3650   0.1337  -4.6731   9.6947   1.8177  -0.4942  -1.0015   1.7017   0.1190  -0.2325   0.3291 
  0.0000   4.2799   0.8876  -4.2110   9.6176   1.9545  -0.6353  -1.0473   1.7130   0.1322  -0.2153   0.3388 
  0.0000   5.7673   1.3415  -3.5180  10.8741   1.3278  -0.3255  -1.1503   1.2101   0.1808  -0.2352   0.3236 
  0.0000   5.2202   1.1065  -3.7247   9.9703   1.5104  -0.1783  -0.8145   1.6775   0.1572  -0.2226   0.3111 
  0.0000   5.3134   1.2199  -3.1046   9.8973   1.4576   0.1359  -0.9539   1.7519   0.1666  -0.2137   0.2892 
  0.0000   5.5120   1.6293  -2.9303  10.2621   1.3001   0.0718  -0.7868   1.5961   0.1809  -0.2134   0.3023 
  0.0000   5.5850   1.7509  -2.5898  10.2175   1.2109   0.6042  -0.7548   1.5797   0.1870  -0.2080   0.2913 
  0.0000   5.3377   2.5412  -2.4115  10.4323   1.2897   0.6431  -0.5955   1.5217   0.1987  -0.1955   0.3262 
  0.0000   5.7187   2.6182  -1.9211  10.7363   1.0698   0.1688  -0.6440   1.2395   0.2144  -0.1970   0.3103 
  0.0000   5.4269   3.5504  -1.6901  10.8092   1.0395   0.0710  -0.5072   1.1590   0.2262  -0.1797   0.3449 
  0.0000   4.8635   3.6760  -1.0700  10.7890   1.3797   0.1948  -0.6085   1.0603   0.2282  -0.1631   0.3465 
  0.0000   5.1067   4.6974  -0.7174  10.7241   1.1278   0.0969  -0.5704   1.0067   0.2476  -0.1481   0.3582 
  0.0000   4.9851   5.0946  -0.2432  10.3634   1.1036   0.1117  -0.6431   1.0690   0.2525  -0.1312   0.3479 
  0.0000   4.8554   5.1675  -0.0405  10.0837   1.0214   0.1948  -0.5072   1.0949   0.2508  -0.1227   0.3388 
  0.0000   4.6487   5.5201   0.1378  10.0594   1.0603   0.2493  -0.4085   0.9417   0.2546  -0.1131   0.3504 
  0.0000   4.3812   5.8768   0.5593   9.9622   1.0283   0.3462  -0.3930   0.8708   0.2597  -0.0988   0.3538 
  0.0000   4.4299   6.4685   1.0740   9.8487   0.8950   0.2190  -0.4631   0.7929   0.2728  -0.0842   0.3511 
  0.0000   4.4258   6.4928   1.0011   9.5123   0.7210   0.4181  -0.1541   0.7868   0.2679  -0.0806   0.3434 
  0.0000   4.5271   6.2132   1.2159  10.0229   0.4207   0.8249   0.0208   0.3904   0.2747  -0.0890   0.3407 
  0.0000   4.2434   7.1170   1.1835   9.3664   0.3852   0.5661   0.3203   0.4821   0.2739  -0.0664   0.3590 
  0.0000   3.9314   6.7482   1.8238   9.5852   0.3142   1.0101   0.1999   0.2302   0.2761  -0.0618   0.3434 
